title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
Chef John&#39;s Chinese Scallion Pancakes,https://www.allrecipes.com/recipe/263821/chef-johns-chinese-scallion-pancakes/,8,30m,20m,2h 50m,"2 cups bread flour | 1.5 teaspoons kosher salt | 0.75 cup very hot water | 3 tablespoons vegetable oil | 2 teaspoons sesame oil | 1 tablespoon all-purpose flour | 1 teaspoon all-purpose flour | 1 bunch green onions, mostly green parts, thinly sliced | 1.5 tablespoons vegetable oil, or as needed","2. Combine bread flour and salt in a large bowl. Make a well in the middle and pour in hot water. Mix together with a wooden spoon to form a shaggy dough. | 3. Transfer dough onto a lightly floured work surface. Knead dough until sticky but relatively smooth and elastic, dusting with a minimal amount of flour if needed. Wrap in plastic wrap and let dough rest for 2 hours. | 4. Mix vegetable oil, sesame oil, and flour together in a skillet over medium heat until starting to bubble, about 3 minutes. Cook for 1 minute more. Remove from heat and cool to room temperature. | 5. Unwrap dough and cut in half. Roll out into a tube and press down with your fingers. Use a rolling pin to flatten dough into a rectangular shape about 1/8-inch thick, flipping over and dusting lightly with flour halfway through. | 6. Paint surface of the dough with the oil mixture until just covered, leaving 1 inch of space on the edges. Sprinkle scallions on top. Roll dough up tightly to seal in the scallions, starting with the long side. Pull the opposite edge over the top once you have reached it. | 7. Coil 1 end of the dough inward toward the middle; wrap the opposite end around the coil to finish, tucking the tip under the bottom. Dust the coil with flour and roll dough out into a pancake about 1/4-inch thick. Repeat with remaining dough, oil, and green onions to make the second pancake. | 8. Heat vegetable oil in a cast iron skillet over high heat. Add 1 pancake; lower heat to medium. Cook until crispy and browned, about 4 minutes per side. Repeat with the other pancake. Cut into wedges.",200kcal,9g,2g,not provided,366mg,25g,2g,1g,4g,5mg,26mg,not provided,109mg
Chinese Steamed Buns,https://www.allrecipes.com/recipe/7011/chinese-steamed-buns/,24,30m,45m,4h 45m,"1.75 cups all-purpose flour, divided | 0.75 cup warm water, divided | 1 tablespoon active dry yeast | 1 teaspoon white sugar | 2 tablespoons white sugar | 1 tablespoon vegetable oil | 0.25 teaspoon salt | 0.5 teaspoon baking powder","2. Gather all ingredients. | 3. Mix together 1/4 cup flour, 1/4 cup warm water, yeast, and 1 teaspoon sugar in a large bowl. Allow to sit for 30 minutes. | 4. Mix in remaining 1 ½ cups flour, remaining 1/2 cup warm water, 2 tablespoons sugar, vegetable oil, and salt. Knead until dough is smooth and elastic. | 5. Transfer to a greased bowl, roll to coat with oil, and let sit until tripled in size, 2 ½ to 3 hours. | 6. Punch down dough and spread out on a floured board. Sprinkle baking powder evenly on surface of dough; knead for 5 minutes. | 7. Divide dough in half; set aside one half in a covered bowl. Divide remaining half into 12 equal pieces. | 8. Shape each into a ball; transfer each ball to a small square of waxed paper with the smooth surface facing up. Repeat portioning and shaping with remaining dough half. Cover all 24 dough balls and let sit until doubled in size, about 30 minutes. | 9. Bring some water to a boil in a wok, then reduce heat to medium and keep water at a low boil. Place the steam plate on a small wire rack in the middle of the wok, leaving at least 2 inches of space between the plate and the wok. Working in batches, place buns on waxed paper squares onto the steam plate, leaving 1 to 2 inches between buns. | 10. Cover and steam buns for 15 minutes. Carefully remove the lid, so condensation doesn&#39;t drip onto buns. Continue steaming remaining buns until all are cooked.",44kcal,1g,0g,not provided,35mg,8g,0g,1g,1g,not provided,8mg,1mg,20mg
"Velveting Chicken Breast, Chinese Restaurant Style",https://www.allrecipes.com/recipe/261452/velveting-chicken-breast-chinese-restaurant-style/,4,10m,10m,50m,"1 large egg white | 1 tablespoon Chinese rice vinegar | 1 tablespoon cornstarch | 1 teaspoon kosher salt | 1 pound skinless, boneless chicken breast, thinly sliced | 8 cups water | 1 tablespoon peanut oil","2. Whisk together egg white, vinegar, cornstarch, and salt in a large bowl until smooth. Add sliced chicken; mix to coat thoroughly. Cover with plastic wrap and marinate in the refrigerator for 30 minutes. | 3. Bring water and oil to a boil in a pot over high heat. Reduce heat to medium. | 4. Remove chicken from the marinade and shake off excess; discard remaining marinade. Add chicken to boiling water and cook until just white on the outside but not completely cooked through, about 1 minute. | 5. Drain chicken and finish cooking in a hot oiled wok or skillet until no longer pink in the center and the juices run clear, or store parboiled chicken in the refrigerator in a sealed container until ready to use, up to a few hours.",156kcal,6g,1g,58mg,556mg,2g,not provided,0g,23g,not provided,25mg,1mg,160mg
Quick Beef Stir-Fry,https://www.allrecipes.com/recipe/228823/quick-beef-stir-fry/,4,15m,10m,25m,"2 tablespoons vegetable oil | 1 pound beef sirloin, cut into 2-inch strips | 1.5 cups fresh broccoli florets | 1 red bell pepper, cut into matchsticks | 2 carrots, thinly sliced | 1 green onion, chopped | 1 teaspoon minced garlic | 2 tablespoons soy sauce | 2 tablespoons sesame seeds, toasted","2. Gather all ingredients. | 3. Heat vegetable oil in a large wok or skillet over medium-high heat; add beef and stir-fry until browned, 3 to 4 minutes. | 4. Move beef to the side of the wok and add broccoli, bell pepper, carrots, green onion, and garlic to the center of the wok; stir-fry vegetables for 2 minutes. | 5. Stir beef into vegetables and season with soy sauce and sesame seeds. Continue to cook and stir until vegetables are tender, about 2 more minutes. | 6. Serve hot and enjoy!",268kcal,16g,4g,49mg,526mg,9g,3g,3g,23g,not provided,not provided,not provided,not provided
Easy Chinese Fried Noodles,https://www.allrecipes.com/recipe/34668/chinese-fried-noodles/,6,15m,25m,40m,"2 (3 ounce) packages soy sauce-flavored ramen noodles with seasoning packets | 2 tablespoons vegetable oil, divided | 3 large eggs, beaten | 2 teaspoons vegetable oil, divided | 4 green onions, thinly sliced | 1 small carrot, peeled and grated | 0.5 cup green peas | 0.25 cup red bell pepper, minced | 2 tablespoons sesame oil | 1 teaspoon sesame oil, or to taste | 1 teaspoon soy sauce, or to taste","2. Gather all ingredients. | 3. Bring a medium pot of water to a boil. Cook ramen noodles, reserving seasoning packets, in boiling water until softened, about 3 minutes. Drain noodles and set aside. | 4. Heat 1 tablespoon vegetable oil in a small skillet. Cook and stir beaten eggs in hot oil until scrambled and firm. Set aside. | 5. Heat 1 teaspoon vegetable oil in a large skillet or wok over medium heat. Add green onions into hot oil and stir fry until softened, 2 to 3 minutes. Remove green onions to a plate; set aside. | 6. Heat remaining 1 teaspoon vegetable oil in the same wok or skillet over medium heat. Add carrots, peas, and bell pepper separately; stir frying until softened, removing each to the plate with green onions when done. | 7. Combine 2 tablespoons sesame oil with remaining 1 tablespoon vegetable oil in the same skillet or a wok over medium heat. Stir fry cooked noodles in hot sesame-vegetable oil, tossing frequently, until golden, 3 to 5 minutes. Season with desired amounts of sesame oil, soy sauce, and reserved ramen seasoning packets; toss to coat. | 8. Stir in cooked vegetables, tossing frequently, until heated through, about 5 more minutes. | 9. Enjoy!",161kcal,13g,3g,69mg,294mg,7g,1g,1g,4g,16mg,33mg,1mg,144mg
Char Siu (Chinese BBQ Pork),https://www.allrecipes.com/recipe/232681/char-siu-chinese-bbq-pork/,4,10m,35m,2h 45m,0.5 cup soy sauce | 0.333 cup honey | 0.333 cup ketchup | 0.333 cup brown sugar | 0.25 cup Chinese rice wine | 2 tablespoons hoisin sauce | 2 tablespoons red bean curd | 1 teaspoon Chinese five-spice powder | 2 (1 pound) pork tenderloins,"2. Gather all ingredients. | 3. Stir soy sauce, honey, ketchup, brown sugar, rice wine, hoisin sauce, red bean curd, and five-spice powder together in a saucepan over medium-low heat. Cook and stir until just combined and slightly warm, 2 to 3 minutes. | 4. Meanwhile, slice each pork tenderloin lengthwise into 1 ½- to 2-inch-thick strips. Place pork strips in a large, resealable plastic bag. | 5. Pour marinade into the bag with the pork. Squeeze air from the bag, seal, and turn the bag a few times until pork is well coated. Marinate in the refrigerator, 2 hours to overnight. | 6. When ready to cook, preheat a charcoal grill for medium-high heat and lightly oil the grate. | 7. Remove pork from marinade and shake to remove excess liquid. Set aside the remaining marinade for basting. | 8. Rake the hot coals into two equal piles on opposite sides of the charcoal grate. Add a small container of water to the grate. Place pork strips in the center of the grate for indirect cooking. | 9. Cook pork over indirect heat, turning regularly and basting as desired, until an instant-read thermometer inserted into the center reads at least 145 degrees F (63 degrees C), 30 minutes or longer. | 10. Serve hot and enjoy!",483kcal,9g,3g,127mg,2250mg,54g,1g,48g,44g,not provided,not provided,not provided,not provided
Super Easy Cabbage Stir Fry,https://www.allrecipes.com/recipe/174210/super-easy-stir-fried-cabbage/,4,10m,5m,15m,"1 tablespoon vegetable oil | 2 cloves garlic, minced | 1 pound shredded cabbage | 1 tablespoon soy sauce | 1 tablespoon Chinese cooking wine (Shaoxing wine)","2. Heat vegetable oil in a wok or large skillet over medium heat. Stir in garlic and cook until it begins to brown, 3 to 5 seconds. | 3. Stir in cabbage until coated in oil; cover the wok and cook for 1 minute. | 4. Pour in soy sauce; cook and stir for another minute. Increase heat to high and stir in Chinese cooking wine. Cook and stir until cabbage is tender, about 2 minutes more. | 5. Serve hot and enjoy!",65kcal,4g,1g,not provided,270mg,7g,3g,4g,2g,42mg,49mg,1mg,208mg
Perfect Pot Stickers,https://www.allrecipes.com/recipe/261153/perfect-pot-stickers/,6,25m,5m,1h 0m,"1 pound ground pork | 4 cloves minced garlic | 0.5 cup finely chopped green onions | 3 tablespoons very finely minced fresh ginger | 2 tablespoons soy sauce | 1 teaspoon soy sauce | 1 teaspoon sesame oil | 1 pinch cayenne pepper | 1.5 cups finely chopped green cabbage | 2.5 cups all-purpose flour, or more as needed | 0.75 teaspoon kosher salt | 1 cup hot water, about 130 -150 F (55-65 C) | 0.25 cup seasoned rice vinegar | 0.25 cup soy sauce | 6 tablespoons vegetable oil for frying, or as needed - divided | 8 tablespoons water for steaming, divided","2. To make the filling: Place ground pork, green onions, garlic, ginger, 2 tablespoon plus 1 teaspoon soy sauce, sesame oil, and cayenne in a mixing bowl. Top with chopped green cabbage. Mix with fork until thoroughly combined. Tamp down lightly; cover with plastic. Refrigerate until chilled, about an hour. | 3. To make the dough: Place 2 ½ cups of flour and kosher salt in a mixing bowl. Slowly pour in hot water. Stir with a wooden spoon until mixture forms a shaggy dough. Flour your hands and transfer dough to a work surface. Knead dough until it becomes smooth and elastic, about 3 to 5 minutes. If dough seems too sticky, sprinkle with a bit more flour, up to an additional 1/2 cup, and continue to knead. Wrap dough ball in plastic, and let it rest about 30 minutes. | 4. When dough has rested, divide into 4 equal pieces. Cover 3 pieces with a dish cloth while you work the first piece. Roll into a small log about the thickness of a thumb, about 3/4 inch. Divide each log into 6 equal pieces. Roll each piece into a thin 3 ½-inch circle on a lightly floured surface to form the pot sticker wrappers. Repeat with the remaining dough pieces. | 5. Lightly moisten the edges of a wrapper with your wet finger. Place a small scoop of the ground pork mixture onto the center of a wrapper. Fold up the 2 sides and pinch together in the center. Pinch together the remaining edges, forming &#34;pleats&#34; along one side. Tap the pot sticker on the work surface to slightly flatten the bottom; form a slight curve in it so it stands upright in the pan. Transfer to a well-floured plate. Repeat with remaining dough and filling. | 6. To make the dipping sauce: Mix seasoned rice vinegar and soy sauce together in a small mixing bowl. Set aside. | 7. Heat oil in skillet over medium-high heat. Place about 6 or 7 pot stickers in the hot oil, flat-side down. Cook until bottoms are golden brown, about 2 minutes. Drizzle in water and quickly cover the pan; steam for 3 minutes. Uncover; reduce heat to medium. Continue cooking until water evaporates and bottoms are browned and crunchy, 1 or 2 minutes. Transfer to a warm serving dish. Repeat with remaining pot stickers. | 8. Serve dumplings with dipping sauce.",439kcal,19g,6g,55mg,1453mg,46g,2g,4g,20g,not provided,not provided,not provided,not provided
Pork Dumplings,https://www.allrecipes.com/recipe/14759/pork-dumplings/,10,45m,15m,1h 0m,"100 (3.5 inch square) wonton wrappers | 1.75 pounds ground pork | 1 tablespoon minced fresh ginger root | 4 cloves garlic, minced | 2 tablespoons thinly sliced green onion | 4 tablespoons soy sauce | 3 tablespoons sesame oil | 1 egg, beaten | 5 cups finely shredded Chinese cabbage","2. Combine pork, ginger, garlic, green onion, soy sauce, sesame oil, egg and cabbage in a large bowl. Stir until well mixed. | 3. Place 1 heaping teaspoon of pork filling onto each wonton skin. Moisten edges with water and fold edges over to form a triangle shape. Roll edges slightly to seal in filling. Set dumplings aside on a lightly floured surface until ready to cook. | 4. Arrange dumplings in a covered bamboo or metal steamer so they don&#39;t touch to prevent them from sticking together; steam until pork is cooked through, about 15 minutes. | 5. Serve hot and enjoy!",752kcal,29g,9g,129mg,1449mg,81g,3g,1g,39g,not provided,not provided,not provided,not provided
Daddy&#39;s Shrimp Toast,https://www.allrecipes.com/recipe/25870/daddys-shrimp-toast/,8,35m,15m,50m,"1 pound fresh shrimp, peeled, deveined and finely minced | 0.5 medium yellow onion, minced | 0.5 cup finely chopped water chestnuts | 0.5 cup finely chopped celery | 1 green onion, finely chopped | 0.5 cup cooked crabmeat | 1 large egg, beaten | 1.5 tablespoons chopped fresh parsley | 1 teaspoon sesame oil | 1 teaspoon minced garlic | 5 drops soy sauce | salt and ground black pepper to taste | 0.25 cup soy sauce | 3 tablespoons chopped fresh parsley | 1 tablespoon water | 1 teaspoon sesame oil | 1 teaspoon white sugar | 0.25 teaspoon garlic powder, or to taste | 2 cups oil for frying | 8 thick slices white bread","2. Gather all ingredients. | 3. Make the shrimp paste: Mix shrimp, onion, water chestnuts, celery, and green onion together in a mixing bowl. Stir in crabmeat, egg, parsley, sesame oil, garlic, soy sauce, salt, and pepper. | 4. Make the dipping sauce: Whisk soy sauce, parsley, water, sesame oil, sugar, and garlic powder together in a small bowl. | 5. Make the toast: Heat 1/2 inch oil in a large, heavy skillet over medium heat. | 6. Spread each slice bread with a thick layer of shrimp paste, pressing gently so it sticks to bread. | 7. Working in batches, fry bread, paste-side down, in hot oil until golden and shrimp is pink, 2 to 3 minutes. Flip carefully and cook until bread is golden brown, about 1 minute. Drain on paper towels. | 8. Slice shrimp toasts diagonally and serve with dipping sauce.",666kcal,59g,8g,116mg,817mg,18g,1g,not provided,17g,5mg,90mg,3mg,221mg
General Tso&#39;s Chicken,https://www.allrecipes.com/recipe/91499/general-tsaos-chicken-ii/,6,25m,25m,50m,"4 cups vegetable oil for frying | 1 large egg | 1.5 pounds skinless, boneless chicken thighs, cut into 1 1/2-inch pieces | 1 teaspoon salt | 1 teaspoon white sugar | 1 pinch white pepper | 1 cup cornstarch | 2 tablespoons vegetable oil | 3 tablespoons chopped green onion | 1 clove garlic, minced | 6 dried whole red chilies | 1 strip orange zest | 0.5 cup white sugar | 0.25 cup soy sauce | 3 tablespoons chicken broth | 2 tablespoons peanut oil | 1 tablespoon rice vinegar | 2 teaspoons sesame oil | 0.25 teaspoon ground ginger | 2 teaspoons cornstarch | 0.25 cup water","2. Heat vegetable oil in a deep fryer or large saucepan to 375 degrees F (190 degrees C). | 3. Whisk egg in large mixing bowl. Add chicken, salt, sugar, and pepper; mix well. Mix in cornstarch, a little bit at a time, until chicken is well coated. | 4. Working in batches, carefully drop one piece of chicken at a time into the hot oil. Fry until chicken turns golden brown and begins to float, about 3 minutes. Remove chicken to a plate and allow to cool as you fry the next batch. | 5. Once all of the chicken has been fried, refry the chicken, starting with the batch that was cooked first. Fry each batch until chicken turns deep golden brown, about 2 minutes more. Drain on a paper towel-lined plate. | 6. To make the sauce: Heat vegetable oil in a wok or large skillet over high heat. Stir in green onion, garlic, whole chiles, and orange zest. Cook and stir until garlic turns golden and chiles brighten, 1 to 2 minutes. | 7. Add sugar, soy sauce, chicken broth, peanut oil, rice vinegar, sesame oil, and ginger; bring to a boil and cook for 3 minutes. Whisk 2 teaspoons of cornstarch in water until dissolved. Stir into the boiling sauce. Return to a boil and cook until the sauce thickens and is no longer cloudy from the cornstarch, about 1 minute. | 8. Stir chicken into the boiling sauce. Reduce heat to low and cook until chicken is heated through and has absorbed some of the sauce, about 3 minutes.",634kcal,37g,6g,101mg,1192mg,55g,1g,18g,24g,not provided,not provided,not provided,not provided
Spicy Szechuan Green Beans,https://www.allrecipes.com/recipe/247349/spicy-szechuan-green-beans/,2,15m,10m,25m,"0.5 pound green beans, trimmed and cut into 1-inch pieces | 0.25 cup water | 1 tablespoon minced ginger | 2 cloves garlic, minced | 1 teaspoon sesame oil | 2 tablespoons soy sauce | 1 tablespoon rice vinegar | 0.5 teaspoon white sugar | 0.25 teaspoon red pepper flakes","2. Combine green beans and water in a skillet over medium-high heat. Cover and cook, stirring occasionally, until beans are tender-crisp, 4 to 5 minutes. Add ginger, garlic, and sesame oil; cook, stirring frequently, until garlic is fragrant and golden brown, 1 to 2 minutes. | 3. Mix soy sauce, rice vinegar, sugar, and red pepper flakes together in a small bowl. Pour over beans and cook until sauce thickens enough to coat beans, 3 to 5 minutes.",73kcal,3g,0g,not provided,911mg,11g,4g,2g,3g,20mg,52mg,2mg,303mg
Taiwanese Popcorn Chicken,https://www.allrecipes.com/recipe/263930/popcorn-chicken-taiwanese/,6,30m,15m,55m,"1.5 pounds boneless chicken thighs, cut into bite-size pieces | 2 cloves garlic, finely chopped | 1 tablespoon soy sauce | 2 teaspoons grated ginger | 1 teaspoon five-spice powder | 1 teaspoon ground white pepper, or to taste | 1 teaspoon salt, or to taste | 0.5 teaspoon rice vinegar | 0.5 teaspoon cayenne pepper | 1 large egg | 1 cup tempura batter mix, dry, or as needed | 2 cups peanut oil for frying, or as needed | 1 bunch Thai basil, chopped | 2 green onions, chopped","2. Mix chicken, garlic, soy sauce, ginger, five-spice powder, white pepper, salt, vinegar, and cayenne pepper together in a large bowl until well combined. Let marinate for 10 minutes. | 3. Heat oil in a deep-fryer or large saucepan to 400 degrees F (200 degrees C). | 4. Whisk egg in a small bowl until smooth. Place dry tempura mix into a second small bowl. Dip chicken pieces one at a time into egg, then dredge in tempura mix, shaking off any excess. | 5. Working in batches, lower chicken carefully into hot oil and fry until golden brown, 5 to 8 minutes. Transfer to a paper towel-lined plate to drain and season with salt and pepper. | 6. Transfer chicken to a platter and garnish with basil leaves and green onions.",940kcal,92g,18g,126mg,655mg,8g,1g,not provided,22g,6mg,49mg,2mg,286mg
Shrimp with Broccoli in Garlic Sauce,https://www.allrecipes.com/recipe/223156/shrimp-with-broccoli-in-garlic-sauce/,4,15m,15m,30m,"2 cups fresh broccoli florets | 1 tablespoon water | 2 tablespoons peanut oil | 4 large cloves garlic, minced | 1 cup low-sodium chicken broth | 1 tablespoon soy sauce | 1 tablespoon oyster sauce | 2 teaspoons grated fresh ginger root | 1 pound uncooked medium shrimp, peeled and deveined | 0.25 cup canned water chestnuts, drained | 2 tablespoons cornstarch","2. Combine broccoli and water in a glass bowl; steam in microwave oven until slightly tender, 2 to 3 minutes. | 3. Heat peanut oil in a large skillet or wok over medium-high heat. Add garlic and cook until fragrant, about 1 minute. Reduce heat to low. Add chicken broth, soy sauce, oyster sauce, and ginger root to the garlic; bring to a boil. Add shrimp; cook and stir until the shrimp turn pink, 3 to 4 minutes. | 4. Toss steamed broccoli and water chestnuts with shrimp mixture to coat with sauce. Stir cornstarch into mixture, 1 tablespoon at a time, until sauce thickens, about 5 minutes.",264kcal,9g,2g,239mg,1468mg,15g,3g,2g,30g,52mg,146mg,1mg,555mg
Moo Shu Pork,https://www.allrecipes.com/recipe/175631/mu-shu-pork/,8,15m,15m,1h 0m,"2 tablespoons soy sauce | 2 tablespoons white wine | 1 teaspoon sesame oil | 2 teaspoons cornstarch | 1 pound pork tenderloin, cut into thin strips | 1.75 ounces dried shiitake mushrooms | 0.5 cup sliced green onions | 3 tablespoons minced garlic | 2 tablespoons peeled and minced fresh ginger | 1 head napa cabbage | 3 tablespoons soy sauce | 3 tablespoons white wine | 0.5 teaspoon cornstarch | 0.5 teaspoon white sugar | 0.25 teaspoon ground black pepper | 1 tablespoon vegetable oil, plus more if needed | 1 teaspoon sesame oil | 2 large eggs, beaten | 2 tablespoons white wine | 1 cup hoisin sauce | 1 tablespoon soy sauce | 1 teaspoon sesame oil | 16 frozen Chinese moo shu pancakes, thawed and warmed","2. Gather the ingredients. | 3. Place 2 tablespoons of soy sauce, 2 tablespoons of white wine, 1 teaspoon of sesame oil, and 2 teaspoons of cornstarch in a non-reactive bowl; stir until smooth. Stir pork into marinade until thoroughly coated; refrigerate for 30 minutes to an hour. | 4. Meanwhile, pour hot water over mushrooms in a bowl; set aside to soften for 15 to 20 minutes. Drain mushrooms; pat dry, remove any hard stem pieces, and finely chop. Combine mushrooms, green onions, garlic, and ginger in a bowl; set aside. | 5. Remove outer leaves from napa cabbage; tear green leafy portions from the central stalks of the leaves. Slice stalks into thin 1-inch pieces. Finely chop green leafy portions, and set aside the sliced stems and chopped leaves in separate bowls. | 6. Combine 3 tablespoons of soy sauce, 3 tablespoons of white wine, 1/2 teaspoon of cornstarch, sugar, and ground black pepper in a small bowl; set aside. | 7. Heat vegetable oil and 1 teaspoon of sesame oil in a wok over medium-high heat. Add marinated pork; cook and stir until cooked through and edges have begun to brown, about 5 minutes. Transfer pork to a bowl. | 8. Pour beaten eggs into the hot wok, adding more vegetable oil if necessary; cook and stir until eggs are scrambled, firm, and well-broken up, about 2 minutes. Stir in mushroom mixture; cook and stir 1 to 2 minutes. Add napa cabbage stem pieces; cook and stir until hot but still crunchy, about 1 minute. Add chopped cabbage leaves and 2 tablespoons of white wine; cook and stir until hot, about 1 minute. Add cooked pork and reserved cornstarch mixture. Stir everything together until slightly thickened and hot, about 2 minutes. | 9. Mix hoisin sauce, 1 tablespoon of soy sauce, and 1 teaspoon of sesame oil in a small bowl until thoroughly combined. | 10. To serve, spread about 1 tablespoon of hoisin mixture on each pancake, top with about 1/2 cup of the pork mixture, roll, and serve.",355kcal,8g,2g,72mg,1244mg,53g,4g,12g,17g,not provided,not provided,not provided,not provided
Mongolian Beef and Spring Onions,https://www.allrecipes.com/recipe/201849/mongolian-beef-and-spring-onions/,4,15m,10m,35m,"2 teaspoons vegetable oil | 1 tablespoon finely chopped garlic | 0.5 teaspoon grated fresh ginger root | 0.66666668653488 cup dark brown sugar | 0.5 cup soy sauce | 0.5 cup water | 1 pound beef flank steak, sliced 1/4 inch thick on the diagonal | 0.25 cup cornstarch | 1 cup vegetable oil for frying | 2 bunches green onions, cut in 2-inch lengths","2. Gather all ingredients. | 3. Heat 2 teaspoons of vegetable oil in a saucepan over medium heat. Add garlic and ginger; cook and stir until fragrant, about 30 seconds. | 4. Stir in brown sugar, soy sauce, and water. | 5. Increase heat to medium-high; stir until sauce boils and slightly thickens, about 4 minutes. Remove sauce from the heat and set aside. | 6. Place beef into a large bowl; add cornstarch and mix until beef is thoroughly coated. | 7. Set aside until most of the cornstarch has been absorbed, about 10 minutes. | 8. Heat vegetable oil in a deep skillet to 375 degrees F (190 degrees C). Shake excess cornstarch from beef slices and drop into hot oil, a few at a time, stirring briefly and frying until edges become crisp, about 2 minutes. | 9. Remove beef with a large slotted spoon; drain on paper towels. | 10. Remove excess oil from the skillet, then heat the skillet over medium heat; add beef slices and stir in prepared sauce. Add green onions and bring to a boil; cook until the onions have just softened and are bright green, about 1 to 2 minutes. | 11. Serve and enjoy!",391kcal,12g,3g,27mg,1862mg,55g,3g,39g,18g,22mg,130mg,4mg,606mg
Chinese Spareribs,https://www.allrecipes.com/recipe/77408/chinese-spareribs/,2,5m,40m,2h 45m,3 tablespoons hoisin sauce | 1 tablespoon ketchup | 1 tablespoon honey | 1 tablespoon soy sauce | 1 tablespoon sake | 1 teaspoon rice vinegar | 1 teaspoon lemon juice | 1 teaspoon grated fresh ginger | 0.5 teaspoon grated fresh garlic | 0.25 teaspoon Chinese five-spice powder | 1 pound pork spareribs,"2. Gather all ingredients. | 3. Mix hoisin sauce, ketchup, honey, soy sauce, sake, rice vinegar, lemon juice, ginger, garlic, and five-spice powder together in a shallow glass dish. Place ribs in the dish and turn to coat. Cover and marinate in the refrigerator for 2 hours or up to overnight. | 4. Preheat the oven to 325 degrees F (165 degrees C). Fill a broiler tray with enough water to cover the bottom. Place the grate or a rack over the tray; arrange ribs on the grate. | 5. Cook in the preheated oven on the center rack for 40 minutes, turning and brushing with marinade every 10 minutes. | 6. Let marinade cook on for final 10 minutes to make a glaze. Finish under the broiler if desired. Discard any remaining marinade.",503kcal,31g,11g,121mg,1015mg,23g,1g,18g,30g,3mg,62mg,3mg,407mg
Crispy Chinese Noodles,https://www.allrecipes.com/recipe/222814/crispy-chinese-noodles-restaurant-style/,8,5m,15m,20m,"1 (10 ounce) package egg roll wrappers | 2 cups vegetable oil, or as needed","2. Gather the ingredients. | 3. Cut egg roll wrappers into 1-inch strips. | 4. Heat a wok over medium heat until very hot. Pour oil into the hot wok and heat until shimmering. To test the heat, lower the tip of a wooden chopstick into the oil; if it bubbles vigorously, the oil is ready. | 5. Gently place 2 to 3 strips into hot oil; cook until beginning to brown on one side, 30 seconds to 1 minute. Gently flip and cook until crisp and golden brown all over, 30 seconds to 1 minute more. | 6. Use a slotted spoon to transfer fried strips to a paper towel-lined plate. Repeat to fry remaining strips.",151kcal,6g,1g,3mg,200mg,20g,1g,not provided,3g,not provided,16mg,1mg,29mg
Chinese Tea Eggs,https://www.allrecipes.com/recipe/51326/chinese-tea-leaf-eggs/,8,20m,3h 0m,11h 20m,"3 cups water | 2 tablespoons black tea leaves | 1 tablespoon soy sauce | 1 tablespoon black soy sauce | 1 tablespoon tangerine zest | 1 (2 inch) piece cinnamon stick | 2 pods star anise | 1.25 teaspoons salt, divided | 8 large eggs","2. Gather all ingredients. | 3. Combine 3 cups water, tea leaves, soy sauce, black soy sauce, zest, cinnamon stick, star anise, and 1/4 teaspoon salt in a large saucepan; bring to a boil. Reduce heat, cover, and simmer for 3 hours. | 4. Meanwhile, place eggs and remaining 1 teaspoon salt into a medium pot; cover with cold water. Bring to a boil, reduce heat, and simmer for 20 minutes. | 5. Remove from heat, drain, and cool. Tap cooled eggs with the back of a spoon to crack shells; do not remove shells. | 6. Remove the saucepan from the heat. Add eggs and let steep for at least 8 hours, or for a richer flavor, up to 1 ½ days.",75kcal,5g,2g,186mg,624mg,1g,0g,0g,7g,0mg,35mg,1mg,91mg
Chinese Eggplant with Garlic Sauce,https://www.allrecipes.com/recipe/201964/eggplant-with-garlic-sauce/,6,10m,15m,25m,"3 tablespoons canola oil | 4 Chinese eggplants, halved lengthwise and cut into 1 inch half moons | 1 cup water | 3 tablespoons garlic powder | 1 tablespoon crushed red pepper flakes | 2 tablespoons light soy sauce | 2 tablespoons oyster sauce | 5 teaspoons white sugar | 1 teaspoon cornstarch","2. Heat oil in a large skillet over high heat. Cook and stir eggplant in hot oil until soft, about 4 minutes. Stir in water, garlic powder, and red pepper flakes. Cover and simmer until water is absorbed. | 3. Meanwhile, whisk soy sauce, oyster sauce, sugar, and cornstarch together in a small bowl until sugar and cornstarch are dissolved. | 4. Stir soy sauce mixture into eggplant until evenly coated; continue cooking until sauce has thickened.",187kcal,8g,1g,not provided,224mg,29g,13g,13g,5g,10mg,41mg,1mg,927mg
